12,You Oughta Know,Alanis Morissette,329,"I want you to know, that I'm happy for youI wish nothing but the best for you bothAn older version of meIs she perverted like meWould she go down on you in a theatreDoes she speak eloquentlyAnd would she have your babyI'm sure she'd make a really excellent motherCause the love that you gave that we made wasn't ableTo make it enough for you to be open wide, noAnd every time you speak her nameDoes she know how you told me you'd hold meUntil you died, til you diedBut you're still aliveAnd I'm here to remind youOf the mess you left when you went awayIt's not fair to deny meOf the cross I bear that you gave to meYou, you, you oughta knowYou seem very well, things look peacefulI'm not quite as well, I thought you should knowDid you forget about me Mr. DuplicityI hate to bug you in the middle of dinnerIt was a slap in the face how quickly I was replacedAre you thinking of me when you fuck herCause the love that you gave that we made wasn't ableTo make it enough for you to be open wide, noAnd every time you speak her nameDoes she know how you told me you'd hold meUntil you died, til you diedBut you're still aliveAnd I'm here to remind youOf the mess you left when you went awayIt's not fair to deny meOf the cross I bear that you gave to meYou, you, you oughta knowCause the joke that you laid on the bed that was meAnd I'm not gonna fadeAs soon as you close your eyes and you know itAnd every time I scratch my nailsdown someone else's backI hope you feel it...well can you feel itAnd I'm here to remind youOf the mess you left when you went awayIt's not fair to deny meOf the cross I bear that you gave to meYou, you, you oughta knowAnd I'm here to remind youOf the mess you left when you went awayIt's not fair to deny meOf the cross I bear that you gave to meYou, you, you oughta know"
13,Blood Roses,Tori Amos,322,"Blood roses, blood rosesBack on the street nowBlood roses, blood rosesBack on the street nowBlood roses, blood rosesBack on the street nowCan't forget the things you never saidOn days like these,starts me thinkingWhen chickens get a taste of your meat, girlAnd chickens get a taste of your meat, yesYou gave him your bloodand your warm little diamondYou gave him your bloodand your warm little diamondYou gave him your bloodand your warm little diamondHe likes killing you after you're deadYou think I'm a queer,I think you're a queerI think you're a queerI think you're a queerI shaved every placewhere you been, boyI said, I shaved every placewhere you been, yesGod knows I knowI've thrown away those gracesGod knows I'vethrown away those gracesGod knows I know I'vethrown away those gracesThe Belle of New OrleansTried to show me once how to tangoRound and round your feetRound and round like good little rosesBlood roses, blood rosesBack on the street nowBlood roses, blood rosesBack on the street now, now, nowNow you've cut out the fluteFrom the throat of the loonAt least when you cry nowHe can't even hear youWhen chickens get a taste of your meat, girlCome on, come on, come onCome on, come on, come onCome on, come on, come onOh when he sucks you deep, yesSometimes you're nothing but meat"
14,Break Stuff,Limp Bizkit,168,"It's just one of those daysWhen ya don't wanna wake upEverything is fucked, everybody sucksYou don't really know whyBut you wanna justify rippin' someone's head offNo human contactAnd if you interact your life is on contractYour best bet is to stay away mother fucker!It's just one of those days!It's all about the he said she said bullshitI think you better quit lettin' shit slipOr you'll be leavin with a fat lipIt's all about the he said she said bullshitI think you better quit talkin' that shitIt's just one of those daysFeelin' like a freight trainFirst one to complainLeaves with a blood stainDamn right I'm a maniacYou better watch your backCuz I'm fuckin' up your programAnd if you're stuck upYou just lucked upNext in line to get fucked upYour best bet is to stay away motherfucker!It's just one of those days!It's all about the he said she said bullshitI think you better quit lettin shit slipOr you'll be leavin with a fat lipIt's all about the he said she said bullshitI think you better quit talkin that shit, punkSo come and get itI feel like shitMy suggestion is to keep your distanceCuz right now I'm dangerousWe've all felt like shitAnd been treated like shitAll those motherfuckers, that want to step upI hope ya knowI pack a chainsawI'll skin your ass rawAnd if my day keeps going this wayI just might break something tonightI pack a chainsawI'll skin your ass rawAnd if my day keeps going this wayI just might break something tonightI pack a chainsawI'll skin your ass rawAnd if my day keeps going this wayI just might break your fuckin' face tonightGive me somthing to breakGive me somthing to breakJust give me stuff to breakHow 'bout your fuckin' face?I hope you know I pack a chainsaw, what?A chainsaw, what?A mutherfuckin' chainsaw, what?So come and get itIt's all about the he said she said bullshitI think you better quit lettin shit slipOr you'll be leavin with a fat lipIt's all about the he said she said bullshitI think you better quit talkin that shitPunk, so come and get it"
15,Breaking The Law,Judas Priest,153,"The road was completely wastingOut of working downAll inside it's so first ratingAs I turn in town in townFill that nobody careIs darling watch outNothing could beginTo put action in my wifeBreaking the law,Breaking the lawBreaking the law,Breaking the lawBreaking the law,Breaking the lawBreaking the law,Breaking the lawSo much further don't do futureI kept it even startHow on break promise brokenAching my heartYou don't know what is lifeYou don't have a clueIf you need you be yourselfDo the same thing tooBreaking the law,Breaking the lawBreaking the law,Breaking the lawBreaking the law,Breaking the lawBreaking the law,Breaking the lawYou don't know what is the lifeBreaking the law,Breaking the lawBreaking the law,Breaking the lawBreaking the law,Breaking the lawBreaking the law,Breaking the lawBreaking the law,Breaking the lawBreaking the law,Breaking the lawBreaking the law,Breaking the lawBreaking the law,Breaking the law"
16,Breaking Your Own Heart,Kelly Clarkson,232,"Shaking your head like it's all wrongBefore you're here you're already goneAnd even with the light all around youYou're all alone in the dark.You're breaking your own heartTaking it too far down the lonely roadYou say it's just one loveBut when it's close enough you just let it goThe very thing you've been the most afraid ofYou've been doing it from the start, breaking your own heart.Too many tears, too many fallsIt's easy to hear behind these wallsBut you don't have to walk in the shadowsLife is so hard.You're breaking your own heartTaking it too far down the lonely roadYou say it's just one loveBut when it's close enough you just let it goThe very thing you've been the most afraid ofYou've been doing it from the start, breaking your own heart.You're breaking your own heart.It's not too late, I'm still right here.If only you let go of your fears.You're breaking your heartTaking your own heart down the lonely roadYou say it's just one loveBut when it's close enough you just let it goThe very thing you've been the most afraid ofYou've been doing it from the start, breaking your own heart.You're breaking your own heart"
17,Burn In My Light,Mercy Drive,634,"From the black of decieving liesA new star is born now he brings you to lightWith his hands untiedThey tried so hard to follow, but no-one caredInside you're all so hollow, you understandHey, nothing you can say (say),nothing gonna change what you've done to meNow it's time to shine (shine),I'm gonna take what's mineWhile you're burning inside my lightI gave and you takeAnd I waited for you but I made a mistakeIt's clear that you're fear is so near meBecause I see the look on you're faceYou tried to hold me under, I held my breathAlone and now you wonder, What I posessHey, nothing you can say (say),nothing's gonna change what you've done to meNow it's time to shine (shine),you're gonna burn in my lightHey, nothing you can say,nothing's gonna change what you've done to meNow it's time to shine,I'm gonna take what's mineWhile you're burning inside my lightHey, (hey) nothing you can say,nothing's gonna change what you've done to me (hey)Now it's time to shine,I'm gonna take what's mine.... take what's mineHey, (hey) nothing you can say,nothing's gonna change what you've done to me (hey)Now it's time to shine,I'm gonna take what's mineYou're gonna burn in my lightburn in my light"
18,Cage The Beast,Adelitas Way,197,I see it in your eyesYour feeling paranoidYou know just what I've doneYou know what I've becomeI feel it deep insideWith all the pain and liesI know just what I wantI am an animalI think it's time I let you go(Why did you send me off ?)You can't cage the beast !There's no break in meYou can't cage the beast inside of meI feel the rageAnd all the the painYou can't cage the beast inside of meInside of meI feel it in your vineYou are a parasiteWho knows just what I've doneI think your time has comeYou tried to turn the tideI think you've lost your mindAfraid of what I wantThis sick animal I've becomeI think it's time I let you go(Why did you send me off ?)You can't cage the beast !There's no break in meYou can't cage the beast inside of meI feel the rageAnd all the painYou can't cage the beast inside of meInside of ME !â¡ å Adelitas Way - Cage The Beast å â¡â¡ å Home School Valedictorian (2011) å â¡You can't cage the beast !There's no break in meYou can't cage the beast inside of meI feel the rageAnd all the painYou can't cage the beast inside of meInside of me
19,Civil War,Guns N' Roses,466,"""What we've got here is failure to communicate.Some men you just can't reach...So, you get what we had here last week,which is the way he wants it!Well, he gets it!N' I don't like it any more than you men."" *Look at your young men fightingLook at your women cryingLook at your young men dyingThe way they've always done beforeLook at the hate we're breedingLook at the fear we're feedingLook at the lives we're leadingThe way we've always done beforeMy hands are tiedThe billions shift from side to sideAnd the wars go on with brainwashed prideFor the love of God and our human rightsAnd all these things are swept asideBy bloody hands time can't denyAnd are washed away by your genocideAnd history hides the lies of our civil warsD'you wear a black armbandWhen they shot the manWho said ""Peace could last forever""And in my first memoriesThey shot KennedyI went numb when I learned to seeSo I never fell for VietnamWe got the wall of D.C. to remind us allThat you can't trust freedomWhen it's not in your handsWhen everybody's fightin'For their promised landAndI don't need your civil warIt feeds the rich while it buries the poorYour power hungry sellin' soldiersIn a human grocery storeAin't that freshI don't need your civil warLook at the shoes your fillingLook at the blood we're spillingLook at the world we're killingThe way we've always done beforeLook in the doubt we've wallowedLook at the leaders we've followedLook at the lies we've swallowedAnd I don't want to hear no moreMy hands are tiedFor all I've seen has changed my mindBut still the wars go on as the years go byWith no love of God or human rights'Cause all these dreams are swept asideBy bloody hands of the hypnotizedWho carry the cross of homicideAnd history bears the scars of our civil wars""We practice selective annihilation of mayorsAnd government officialsFor example to create a vacuumThen we fill that vacuumAs popular war advancesI don't need your civil warIt feeds the rich while it buries the poorYour power hungry sellin' soldiersIn a human grocery storeAin't that freshAnd I don't need your civil warI don't need your civil warI don't need your civil warYour power hungry sellin' soldiersIn a human grocery storeAin't that freshI don't need your civil warI don't need one more warI don't need one more warWhaz so civil 'bout war anyway"
20,Cleanin Out My Closet,Eminem,303,"Have you ever been hatedor discriminated against?I have, I've been protested and demonstrated against.Picket signs for my wicked rhymes.Look at the times. Sick is the mindof the motha fuckin' kid that's behindall this commotion. Emotions run deepas ocean's explodin.'Tempers flaring from parents,just blow 'em off and keep goin.'Not takin' nothin' from no one,give 'em hell long as I'm breathin.Keep kickin' ass in the mornin,'an' takin' names in the evening.Leavem with a taste as sour as vinegar in they mouth.See, they can trigger mebut they never figure me out.Look at me now,I bet ya probably sick of me now.Ain't you mama,I'ma make you look so ridiculous now.I'm sorry, Mama.I never meant to hurt you.I never meant to make you cry, but tonightI'm cleanin' out my closet.one more time I'm sorry, Mama.I never meant to hurt you.I never meant to make you cry, but tonightI'm cleanin' out my closet.I got some skeletons in my closetand I don't know if no one knows it.So before they thrownme inside my coffin and close it,I'ma expose it. I'll take you back to73 before I ever had a multi-platinum sellin' CD.I was a baby, maybe I was just a couple of months.My faggot father must havehad his panties up in a bunch,cuz he split.I wonder if he even kissed me goodbye.No, I don't on second thought,I just fuckin' wished he would die.I look at Hailieand I couldn't picture leavin' her side.Even if I hated Kim, I grit my teeth and I'd tryto make it work with her at least for Hailie's sake.I maybe made some mistakesbut I'm only human.But I'm man enough to face them today./What I did was stupid, no doubt it was dumbbut the smartest shitI did was take them bullets out of that gun.Cuz id'a killed 'em, shit I would have shot Kim an' him both.It's my life, I'd like to welcome y'all to The Eminem Show.I'm sorry, Mama.I never meant to hurt you.I never meant to make you cry, but tonightI'm cleanin' out my closet.one more time I'm sorry, Mama.I never meant to hurt you.I never meant to make you cry, but tonightI'm cleanin' out my closet.Now I would never dis my own mama just to get recognition.Take a second to listen for you think this record is dissin,' But put yourself in my position. ust try to envision witnessin' yourMama poppin' prescription pills in the kitchen,bitchin' that someone's always goin' throuh her purse and shits missin.' Going through public housing systems, victim of Munchausen's syndrome.My whole life I was made to believeI was sick when I wasn't 'til I grew up, now I blew up. It makes you sick to ya stomach,doesn't it?Wasn't it the reason you made that CD for me, Ma?So you could try to justify the way you treated me, Ma?But guess what,yer gettin' older now and it's cold when your lonely.An' Nathan's getting' up so quick,he's gonna know that your phoney.And Hailie's getting' so big now,you should see her, she's beautiful.But you'll never see her,she won't even be at your funeral.See what hurts me the most is you won'tadmit you was wrong. Bitch, do ya song.Keep tellin' yourself that you was a mom.But how dare youtry to take what you didn't help me to get.You selfish bitch,I hope you fuckin' burn in hell for this shit. Remember whenRonnie died and you said you wished it was me?Well, guess what, I am dead. Dead to you as can be.I'm sorry, Mama.I never meant to hurt you.I never meant to make you cry, but tonightI'm cleanin' out my closet.one more time I'm sorry, Mama.I never meant to hurt you.I never meant to make you cry, but tonightI'm cleanin' out my closet."
21,Costume Makes The Clown,Shakira,192,Told you I felt lucky with my humble breastsWell I don'tSaid that I was sure the world was gonna changeWell I'm notBefore I didn't give a damn 'bout what they sayBut I doPromised that I'll never ever lie to youSo you can helpTaking the make-up off my faceBefore I forget my own featuresI'm not here to let you downBut the costume makes the clownIt's just lashing out on meDon't be so hardDon't be so hard on thisIt's your turn nowTo cheat on mePromises I made to you went down the sinkReally hope I haven't harmed your self esteemI'm not a virgin but I'm not the whore you thinkAnd I don't always smell like strawberries and creamSo you can helpTaking the make-up off my faceBefore I forget who I am now'Cause I'm not here to let you downBut the costume makes the clownIt's just lashing out on meDon't be so hardDon't be so hard on thisIt's your turn nowYour turn now...I'm not here to let you downBut the costume makes the clownIt's just lashing out on meDon't be so hardDon't be so hard on thisIt's your turn nowYour turn now...To cheat on meå¶ä½
22,Creeping Death,Metallica,396,"Slavesï¼Hebrews born to serve, to the pharaohHeedï¼To his every word, live in fearFaithï¼Of the unknown one, the delivererWaitï¼Something must be done, four hundred yearsSo let it be writtenSo let it be doneIm sent here by the chosen oneSo let it be writtenSo let it be doneTo kill the first born pharaoh sonIm creeping deathNowï¼Let my people go, land of goshenGoï¼I will be with thee, bush of fireBloodï¼Running red and strong, down the NilePlagueï¼Darkness three days long, hail to fireSo let it be writtenSo let it be doneIm sent here by the chosen oneSo let it be writtenSo let it be doneTo kill the first born pharaoh sonIm creeping deathDie by my handI creep across the landKilling first born manDie by my handI creep across the landKilling first born manRule the midnight air the destroyerBornï¼I shall soon be there, deadly massCreep the steps and flood final darknessBloodï¼Lambs blood painted door, I shall passSo let it be writtenSo let it be doneIm sent here by the chosen oneSo let it be writtenSo let it be doneTo kill the first born pharaoh sonIm creeping death"
